
Model,Jaccard,F1,Recall,Precision,Acc,F2,HD,MFPS,MSPF
attentionunet, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,498.90061091268956,6.681357489691841e-06
attentionunet, 0.4221, 0.5620, 0.6331, 0.5930, 0.9913, 0.5901, 3.4774,498.90061091268956,6.681357489691841e-06
aunet1, 0.4007, 0.5408, 0.5966, 0.6047, 0.9912, 0.5619, 3.5407,254.2196555615762,1.3112020492553712e-05
aunet1, 0.4012, 0.5409, 0.5957, 0.6119, 0.9912, 0.5614, 3.5543,254.2196555615762,1.3112020492553712e-05
aunet2, 0.4226, 0.5667, 0.6328, 0.5922, 0.9914, 0.5923, 3.4909,398.25454223195646,8.36985641055637e-06
aunet2, 0.4231, 0.5671, 0.6325, 0.5969, 0.9914, 0.5923, 3.4917,398.25454223195646,8.36985641055637e-06
aunet3_res, 0.4166, 0.5596, 0.6006, 0.6182, 0.9917, 0.5714, 3.5087,398.25454223195646,8.36985641055637e-06
aunet3_res, 0.4274, 0.5693, 0.6434, 0.5980, 0.9915, 0.5975, 3.5336,398.25454223195646,8.36985641055637e-06
aunet4, 0.3721, 0.5140, 0.5895, 0.5459, 0.9901, 0.5437, 3.6038,363.3203024504585,9.174640973409017e-06
aunet4, 0.3730, 0.5146, 0.5887, 0.5487, 0.9901, 0.5435, 3.6100,363.3203024504585,9.174640973409017e-06
